0.2	5.9216E+02	2.0017E+03	3.6443E+03	3.6597E+03	4.8923E+03	6.4497E+03	7.7490E+03	8.6387E+03	9.2524E+03	9.8455E+03	1.0658E+04	1.1817E+04	1.3288E+04	1.4886E+04	1.6343E+04	1.7450E+04	1.8267E+04	1.9399E+04
0.25	5.2784E+02	1.9219E+03	3.7763E+03	3.8135E+03	5.0328E+03	6.6306E+03	8.0310E+03	9.0772E+03	9.8838E+03	1.0682E+04	1.1692E+04	1.3031E+04	1.4666E+04	1.6424E+04	1.8056E+04	1.9366E+04	2.0411E+04	2.1764E+04
0.3	4.7629E+02	1.8058E+03	3.7440E+03	3.8655E+03	5.0408E+03	6.6289E+03	8.0758E+03	9.2241E+03	1.0170E+04	1.1118E+04	1.2267E+04	1.3722E+04	1.5453E+04	1.7303E+04	1.9041E+04	2.0491E+04	2.1704E+04	2.3211E+04
0.4	4.0119E+02	1.5701E+03	3.4523E+03	3.8321E+03	4.9057E+03	6.4197E+03	7.8806E+03	9.1358E+03	1.0250E+04	1.1384E+04	1.2697E+04	1.4272E+04	1.6087E+04	1.8008E+04	1.9848E+04	2.1456E+04	2.2880E+04	2.4563E+04
0.5	3.4982E+02	1.3816E+03	3.1063E+03	3.7443E+03	4.7432E+03	6.1783E+03	7.6194E+03	8.9214E+03	1.0127E+04	1.1365E+04	1.2764E+04	1.4393E+04	1.6232E+04	1.8169E+04	2.0045E+04	2.1735E+04	2.3276E+04	2.5048E+04
0.6	3.1209E+02	1.2362E+03	2.8004E+03	3.6391E+03	4.5926E+03	5.9604E+03	7.3740E+03	8.6965E+03	9.9557E+03	1.1255E+04	1.2702E+04	1.4355E+04	1.6196E+04	1.8129E+04	2.0016E+04	2.1749E+04	2.3360E+04	2.5178E+04
0.7	2.8241E+02	1.1200E+03	2.5430E+03	3.5192E+03	4.4473E+03	5.7576E+03	7.1403E+03	8.4674E+03	9.7557E+03	1.1090E+04	1.2562E+04	1.4221E+04	1.6051E+04	1.7967E+04	1.9849E+04	2.1601E+04	2.3252E+04	2.5090E+04
0.8	2.5868E+02	1.0276E+03	2.3347E+03	3.3992E+03	4.3173E+03	5.5816E+03	6.9359E+03	8.2614E+03	9.5670E+03	1.0924E+04	1.2410E+04	1.4067E+04	1.5882E+04	1.7779E+04	1.9652E+04	2.1413E+04	2.3088E+04	2.4933E+04
0.9	2.3915E+02	9.5065E+02	2.1602E+03	3.2752E+03	4.1913E+03	5.4162E+03	6.7427E+03	8.0609E+03	9.3739E+03	1.0742E+04	1.2232E+04	1.3882E+04	1.5677E+04	1.7552E+04	1.9409E+04	2.1170E+04	2.2856E+04	2.4697E+04
1	2.2271E+02	8.8588E+02	2.0131E+03	3.1520E+03	4.0711E+03	5.2624E+03	6.5625E+03	7.8703E+03	9.1846E+03	1.0557E+04	1.2045E+04	1.3684E+04	1.5458E+04	1.7309E+04	1.9147E+04	2.0902E+04	2.2592E+04	2.4424E+04
1.5	1.6820E+02	6.6960E+02	1.5217E+03	2.5949E+03	3.5348E+03	4.6095E+03	5.7969E+03	7.0337E+03	8.3103E+03	9.6516E+03	1.1091E+04	1.2646E+04	1.4308E+04	1.6034E+04	1.7765E+04	1.9451E+04	2.1098E+04	2.2842E+04
2	1.3699E+02	5.4529E+02	1.2392E+03	2.1727E+03	3.0975E+03	4.0956E+03	5.1942E+03	6.3564E+03	7.5716E+03	8.8533E+03	1.0222E+04	1.1688E+04	1.3244E+04	1.4858E+04	1.6484E+04	1.8083E+04	1.9656E+04	2.1300E+04
2.5	1.1644E+02	4.6340E+02	1.0531E+03	1.8634E+03	2.7432E+03	3.6790E+03	4.7041E+03	5.7973E+03	6.9494E+03	8.1678E+03	9.4655E+03	1.0850E+04	1.2312E+04	1.3828E+04	1.5361E+04	1.6877E+04	1.8374E+04	1.9925E+04
3	1.0173E+02	4.0478E+02	9.1987E+02	1.6328E+03	2.4551E+03	3.3351E+03	4.2968E+03	5.3277E+03	6.4200E+03	7.5776E+03	8.8092E+03	1.0119E+04	1.1500E+04	1.2931E+04	1.4381E+04	1.5821E+04	1.7247E+04	1.8715E+04
