2.50E-01	6.0060E+02	2.193E+03	3.6134E+03	5.3185E+03	7.0309E+03	8.7189E+03	1.0356E+04	1.1955E+04	1.3408E+04	1.4791E+04	1.6384E+04	1.7373E+04	1.8531E+04	1.9594E+04	2.0657E+04	2.1683E+04	2.2615E+04	2.3375E+04
3.00E-01	5.5040E+02	2.083E+03	3.4818E+03	5.1971E+03	6.9445E+03	8.6879E+03	1.0402E+04	1.2096E+04	1.3652E+04	1.5151E+04	1.6916E+04	1.8018E+04	1.9330E+04	2.0549E+04	2.1779E+04	2.2976E+04	2.4076E+04	2.4999E+04
4.00E-01	4.7190E+02	1.839E+03	3.2258E+03	4.9243E+03	6.6925E+03	8.4850E+03	1.0278E+04	1.2077E+04	1.3749E+04	1.5382E+04	1.7369E+04	1.8598E+04	2.0110E+04	2.1535E+04	2.2993E+04	2.4431E+04	2.5769E+04	2.6928E+04
5.00E-01	4.1320E+02	1.625E+03	2.9949E+03	4.6549E+03	6.4129E+03	8.2162E+03	1.0041E+04	1.1890E+04	1.3620E+04	1.5321E+04	1.7442E+04	1.8727E+04	2.0354E+04	2.1900E+04	2.3502E+04	2.5091E+04	2.6580E+04	2.7889E+04
6.00E-01	3.6800E+02	1.452E+03	2.7909E+03	4.4036E+03	6.1372E+03	7.9331E+03	9.7677E+03	1.1639E+04	1.3398E+04	1.5136E+04	1.7344E+04	1.8654E+04	2.0352E+04	2.1975E+04	2.3672E+04	2.5363E+04	2.6953E+04	2.8361E+04
7.00E-01	3.3250E+02	1.315E+03	2.6110E+03	4.1732E+03	5.8747E+03	7.6534E+03	9.4845E+03	1.1364E+04	1.3136E+04	1.4895E+04	1.7160E+04	1.8479E+04	2.0224E+04	2.1896E+04	2.3659E+04	2.5421E+04	2.7082E+04	2.8559E+04
8.00E-01	3.0390E+02	1.204E+03	2.4517E+03	3.9629E+03	5.6283E+03	7.3839E+03	9.2035E+03	1.1081E+04	1.2857E+04	1.4626E+04	1.6930E+04	1.8250E+04	2.0024E+04	2.1730E+04	2.3540E+04	2.5354E+04	2.7066E+04	2.8592E+04
9.00E-01	2.8050E+02	1.112E+03	2.3103E+03	3.7710E+03	5.3983E+03	7.1272E+03	8.9301E+03	1.0799E+04	1.2573E+04	1.4345E+04	1.6675E+04	1.7990E+04	1.9785E+04	2.1513E+04	2.3356E+04	2.5208E+04	2.6958E+04	2.8521E+04
1.00E+00	2.6080E+02	1.035E+03	2.1841E+03	3.5957E+03	5.1841E+03	6.8840E+03	8.6668E+03	1.0523E+04	1.2291E+04	1.4061E+04	1.6407E+04	1.7716E+04	1.9521E+04	2.1265E+04	2.3132E+04	2.5013E+04	2.6791E+04	2.8381E+04
1.50E+00	1.9570E+02	7.777E+02	1.7151E+03	2.9117E+03	4.3121E+03	5.8573E+03	7.5173E+03	9.2787E+03	1.0982E+04	1.2705E+04	1.5045E+04	1.6313E+04	1.8120E+04	1.9878E+04	2.1792E+04	2.3734E+04	2.5579E+04	2.7228E+04
2.00E+00	1.5860E+02	6.306E+02	1.4139E+03	2.4439E+03	3.6826E+03	5.0814E+03	6.6126E+03	8.2615E+03	9.8800E+03	1.1530E+04	1.3799E+04	1.5026E+04	1.6795E+04	1.8525E+04	2.0425E+04	2.2366E+04	2.4214E+04	2.5869E+04
2.50E+00	1.3440E+02	5.344E+02	1.2053E+03	2.1062E+03	3.2109E+03	4.4808E+03	5.8919E+03	7.4307E+03	8.9601E+03	1.0532E+04	1.2706E+04	1.3895E+04	1.5611E+04	1.7298E+04	1.9162E+04	2.1074E+04	2.2901E+04	2.4541E+04
3.00E+00	1.1720E+02	4.659E+02	1.0525E+03	1.8518E+03	2.8459E+03	4.0044E+03	5.3080E+03	6.7431E+03	8.1871E+03	9.6823E+03	1.1753E+04	1.2907E+04	1.4565E+04	1.6202E+04	1.8020E+04	1.9891E+04	2.1685E+04	2.3299E+04
4.00E+00	9.4040E+01	3.739E+02	8.4417E+02	1.4956E+03	2.3203E+03	3.3005E+03	4.4226E+03	5.6787E+03	6.9687E+03	8.3208E+03	1.0187E+04	1.1277E+04	1.2819E+04	1.4354E+04	1.6066E+04	1.7840E+04	1.9553E+04	2.1103E+04
5.00E+00	7.9110E+01	3.146E+02	7.0862E+02	1.2587E+03	1.9619E+03	2.8080E+03	3.7883E+03	4.8981E+03	6.0574E+03	7.2846E+03	8.9672E+03	9.9981E+03	1.1431E+04	1.2867E+04	1.4472E+04	1.6146E+04	1.7771E+04	1.9255E+04
